review,sentiment
Aditya Ingole Deaf,2
I love the app.! There is no issue but if u could add the feature of do not spotlight on unmute in Android devices then it would be more nice,1
"So hard to use. The web app failed, and the mobile app made me create an account before I could join the conference I was invited to. Poor experience all around. How do I delete this account?",0
I hate that the app makes a sound every time someone comes in the room. Sounds cut out if more than one person speaks at a time. I like Zoom better.,1
"Useless at BSE star MF meet.voice too mych slow cant hear properly, and there was connection issues too.",0
همه شون مسخره اند به مولا قسم ایتز اوکیوووو کوفت,1
I love you app,2
"paki lagay naman po nito katulad sa computer like that. To upload your own image for your background, click Upload a background image Add photo",0
Good,2
"I have some complain about this app, whenever I share screen on Google meet.i automatically leave that meeting (class) how I can solve this problem that why I gave 2 stars.",0
It is a good application but I can't joint to the meeting when I change my account.,1
Very disappointed to know that Zoom virtual background is not supporting tablet,1
Its so hackable by the gov. Or docs. And any hacker can use it as a backdoor to all your devices. And once installed hard to completly clean out . It just reinstalls when you sleep.,1
"I like the mobility the app provides. however, it does tend to be a bit glitchy",1
Close my class,0
Very bad,0
Best,2
Super,1
"Used to work okay. Yesterday it took 45 mins. to get into a meeting. It kept saying passcode error. And today with a different meeting I'm still getting a passcode error, even using copy/paste to avoid chance of error. Today I tried uninstalling and reinstalling, but still same error. Ridiculous.",0
Good quality...voice is a little less,1
This app is better than other video conferencing app bcoz in this the operator who arrange the meeting do not want to accept the request of other persons who wants to attend the meeting so time is not wasted to add the persons in the meeting.,1
Awsm,2
Few times its getting auto loggedout and need to login again but it's not loading any thing just rotating the loading symbol and need to reinstall every time,1
worst experience.this app will hang your system and you will be embarassed knowing that yourmic is still on while you are doing casual talks.,0
The best,2
This app makes communication easier while working from home.,2
"The only thing I don't like is the host can not mute the participants. With so many on the meeting, information is garbled.",1
Sir in meet my 3 stars is not coming in my video . 3 stars - virtual background,1
"what app? I tried to install it on my phone, but Microsoft said my phone number was fake.I tried to install it on my computer,but Microsoft would not open the (iconless) app. I really wish our courts would use something different besides this terrible thing.",0
It gives me a hard time when this apps crashes.,1
"Excellent App, there was a little lag during voice call, but a strong internet speed may improve that.",2
"This should be an option inside of facebook itself. Then I wouldn't have to 
create multiple accounts.",1
This app is not good enough so much noise and Disterbense and they told so many options but I can't find them at all and I can't login from google.,0
I have given these four star for its video and audio clearastion,2
"Good service,but takes a LOOOOT of battery, which is kinda understandable.",2
I need this for work but when i cloud call someone we can hear each other fine and i can see them but they cant see me i have a galaxy s5 sport please fix,0
This is the pure best app ever,2
Getting used to it as a host for first time,1
Its a very very nice app but some time takes time in changing the profile picture rather its a excellent app.👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻 Please enable the feature of DARK MODE on this app.,2
Its all time says chake your network even at the strong network,0
A new experience I got in this app,1
Can't see everyone on screen,1
Is there any small box for chatting? Can I chat and watch the presentation at the same time?,1
great call app,2
Nice app for meetings and personalized options are good,2
"Always crashing, that's why I found my happiness here. It's always crashing from time to time that's why I found my lover. 🙊",0
It's very good,2
Super gritchly,2
Nice,2
Nice platform for professionals,2
Volume went very low and I couldn't hear half of the presentation.,1
This is good but after some long it facing too problem .I don't know why.,0
Pls enable back ground settings,1
Had a good experience,1
Excellent,2
Overall good. However needs some UI elements to make it more intuitive,1
I was not visible to the organizer.,2
This app is good but the only problem is sometimes the buttons are not working properly and the background audio is not good as much as it is in google meet and the most important thing is this app does not have a data saving option and the mobile internet drags too much even when I turn off my camera and mute my audio also its dragging too much of data so please by the time of the next update at least solve these issues.,0
It is not gud,0
Zoom is the best meeting app I am using it for a year but now it's not connecting with my meeting fix this problem as soon as possible,2
Good,0
The app is great..!! Only function I want to be added in it is that we should be able to pin atleast 2 people at a time,1
Nice app,2
What makes this app so great is our community of positivity.,2
App works fine but my company login page has an adfs pop-up that doesn't appear when using this app...works fine on web login or iPhone,0
Nawawala ung sound 😭😭,0
Very Very poor app I have sing in and that it is against showing to sing in,0
"Other people cant hear me on the app for some reason. You cant rename yourself, add virtual backgrounds or even adjust your mic? A trash app. The pc version is much better",0
"Every time i paste something in chat, it throws me out.",1
